,,,,Govt., ,Govt.,Corporate,,,Small,,,,,,,,,,,
,S&P,,S&P,Bond,Govt,Bond,Bond,T-Bill,,Stocks,,,,,,,,,,,
,Total,S&P,Capital,Total,Bond,Capital,Total,Total,Inflation,Total,,,,,,,,,,,
Year,Return,Dividends,Gain,Return,Interest,Gain,Return,Return,Rate,Return,,,,,,,,,,,
1971,0.14120,0.03333,0.10787,0.12911,0.06316,0.06595,0.11024,0.04386,0.03359,0.16500,,,,,,,,,,,
1972,0.18720,0.03087,0.15633,0.05532,0.05883,-0.00351,0.07260,0.03840,0.03412,0.04446,,,,,,,,,,,
1973,-0.14502,0.02864,-0.17366,-0.01188,0.06509,-0.07697,0.01017,0.06930,0.08798,-0.30905,,,,,,,,,,,
1974,-0.26027,0.03691,-0.29718,0.03804,0.07266,-0.03462,-0.03052,0.08003,0.12202,-0.19944,,,,,,,,,,,
1975,0.36918,0.05369,0.31549,0.08727,0.07993,0.00734,0.14644,0.05804,0.07014,0.52816,,,,,,,,,,,
1976,0.23534,0.04384,0.19150,0.15956,0.07889,0.08067,0.18670,0.05083,0.04811,0.57378,,,,,,,,,,,
1977,-0.07191,0.04311,-0.11502,-0.00829,0.07136,-0.07965,0.01710,0.05120,0.06770,0.25377,,,,,,,,,,,
1978,0.06402,0.05329,0.01073,-0.01145,0.07903,-0.09048,-0.00181,0.07182,0.09038,0.23461,,,,,,,,,,,
1979,0.18015,0.05708,0.12307,-0.00980,0.08861,-0.09841,-0.04180,0.10376,0.13307,0.43465,,,,,,,,,,,
1980,0.31496,0.05730,0.25766,-0.04028,0.09972,-0.14000,-0.02767,0.11236,0.12397,0.39875,,,,,,,,,,,
1981,-0.04822,0.04896,-0.09718,0.01219,0.11548,-0.10329,-0.01257,0.14709,0.08940,0.13879,,,,,,,,,,,
1982,0.20264,0.05503,0.14761,0.37446,0.13495,0.23951,0.42562,0.10543,0.03871,0.28017,,,,,,,,,,,
1983,0.22405,0.05019,0.17386,0.00557,0.10377,-0.09820,0.06259,0.08798,0.03796,0.39668,,,,,,,,,,,
1984,0.05832,0.04558,0.01274,0.14064,0.11744,0.02320,0.16872,0.09851,0.03954,-0.06669,,,,,,,,,,,
1985,0.31438,0.05108,0.26330,0.29087,0.11250,0.17837,0.30104,0.07723,0.03771,0.24673,,,,,,,,,,,
1986,0.18374,0.03745,0.14629,0.23975,0.08981,0.14994,0.19977,0.06162,0.01130,0.06851,,,,,,,,,,,
1987,0.05698,0.03638,0.02060,-0.02772,0.07915,-0.10687,-0.00268,0.05466,0.04408,-0.09298,,,,,,,,,,,
1988,0.16447,0.04165,0.12282,0.09335,0.08971,0.00364,0.10693,0.06348,0.04419,0.22874,,,,,,,,,,,
1989,0.30948,0.03850,0.27098,0.17437,0.08814,0.08623,0.16231,0.08371,0.04649,0.10189,,,,,,,,,,,
1990,-0.03188,0.03370,-0.06558,0.05576,0.08189,-0.02613,0.06783,0.07814,0.06107,-0.21561,,,,,,,,,,,
1991,0.30126,0.03819,0.26307,0.18320,0.08219,0.10101,0.19901,0.05595,0.03065,0.44634,,,,,,,,,,,
1992,0.07490,0.03026,0.04464,0.07602,0.07259,0.00343,0.09524,0.03506,0.02901,0.23336,,,,,,,,,,,
1993,0.09885,0.02830,0.07055,0.17889,0.07174,0.10715,0.13185,0.02897,0.02750,0.21108,,,,,,,,,,,
1994,0.01277,0.02816,-0.01539,-0.07695,0.06594,-0.14289,-0.05761,0.03903,0.02675,0.03106,,,,,,,,,,,
1995,0.37017,0.02906,0.34111,0.30637,0.07601,0.23036,0.26395,0.05596,0.02533,0.34460,,,,,,,,,,,
1996,0.22802,0.02539,0.20263,-0.01195,0.06177,-0.07372,0.01402,0.05207,0.03328,0.17622,,,,,,,,,,,
1997,0.33115,0.02107,0.31008,0.15144,0.06639,0.08505,0.12949,0.05252,0.01702,0.22775,,,,,,,,,,,
1998,0.28345,0.01676,0.26669,0.12726,0.05834,0.06892,0.10756,0.04855,0.01601,-0.07307,,,,,,,,,,,
1999,0.20876,0.01361,0.19515,-0.08786,0.05568,-0.14354,-0.16038,0.04688,0.02680,0.19536,,,,,,,,,,,
2000,-0.09036,0.01098,-0.10134,0.20844,0.06489,0.14355,0.13248,0.05883,0.03377,-0.03592,,,,,,,,,,,
2001,-0.11860,0.01180,-0.13040,0.03640,0.05530,-0.01890,0.10650,0.03830,0.01700,0.22770,,,,,,,,,,,
2002,-0.22106,0.01259,-0.23365,0.17841,0.06165,0.11677,0.16331,0.01632,0.02393,-0.13278,,,,,,,,,,,
2003,0.28691,0.02299,0.26392,0.01442,0.04806,-0.03363,0.05273,0.01025,0.01798,0.60700,,,,,,,,,,,
2004,0.10873,0.01873,0.09000,0.09341,0.06068,0.03273,0.08721,0.01186,0.03252,0.18391,,,,,,,,,,,
2005,0.04891,0.01879,0.03013,0.07808,0.04802,0.03006,0.05872,0.02980,0.05853,0.05688,,,,,,,,,,,
2006,0.15794,0.02147,0.13647,0.01176,0.04794,-0.03618,0.03236,0.04813,0.02549,0.16170,,,,,,,,,,,
2007,0.05497,0.01951,0.03546,0.09893,0.05215,0.04677,0.02589,0.04667,0.04078,-0.05221,,,,,,,,,,,
2008,-0.36995,0.01508,-0.38502,0.25862,0.05372,0.20490,0.08790,0.01591,0.00103,-0.36723,,,,,,,,,,,
2009,0.26447,0.02995,0.23452,-0.14898,0.03362,-0.18260,0.03001,0.00090,0.02719,0.28086,,,,,,,,,,,
2010,0.15051,0.02277,0.12775,0.10163,0.04267,0.05895,0.12438,0.00100,0.01479,0.31264,,,,,,,,,,,
2011,0.02118,0.04136,-0.02018,0.28234,0.04491,0.23744,0.17940,0.00040,0.02962,-0.03255,,,,,,,,,,,
2012,0.15981,0.02580,0.13401,0.03497,0.02588,0.00908,0.10675,0.00060,0.01745,0.18237,,,,,,,,,,,
2013,0.32408,0.02800,0.29608,-0.11359,0.03461,-0.14820,-0.07079,0.00000,0.01516,0.45068,,,,,,,,,,,
2014,0.13690,0.02306,0.11383,0.23862,0.03658,0.20204,0.17274,0.00000,0.00755,0.02921,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
